Genes,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
PGAP2,1463,1407,1322,2484,2911,2721,1582,3318,3334,2799,2142,416,2071,449,1630,1511,963,997,1764,461
PGAP3,780,1299,5418,2587,1322,2272,512,1497,1622,916,2449,793,2115,763,2324,2543,1310,1661,7673,866
PGBD1,88,336,297,1048,153,300,1112,426,893,185,547,279,525,284,345,519,337,407,297,274
PGBD2,477,539,164,852,1185,695,481,956,482,332,513,149,822,170,350,670,241,442,367,167
PGBD3,178,279,253,345,265,462,133,763,619,175,332,285,405,174,245,460,243,314,177,175
PGBD4,69,48,78,58,120,97,128,123,89,93,105,64,179,81,70,198,65,50,43,69
PGBD5,1939,1075,2267,926,57,964,4452,586,70,85,519,55,166,103,132,295,107,94,175,82
PGCP,972,7483,4106,364,1215,7020,360,1382,2004,451,4029,4274,2661,3368,4062,2827,3035,3432,1865,4593
PGD,7256,9588,2189,6353,9797,12861,9222,17262,11671,12499,6834,11933,7673,13139,12730,5423,7301,6165,9687,14050
PGF,511,426,1847,435,154,519,365,244,386,1113,1849,139,859,209,564,260,268,654,514,68
PGGT1B,833,822,435,1217,1603,1391,1026,742,1231,447,1343,702,1713,795,942,1457,1008,1212,723,614
PGK1,36986,64835,4901,11203,39994,28377,17741,45548,65706,15627,17380,11965,11575,14429,17490,13052,13710,11939,15992,14143
PGLS,2022,2264,2345,1777,2438,1590,2767,7237,2313,708,3197,1387,2394,1398,3216,1474,1166,1218,3419,1136
PGM1,2279,12203,1000,8400,5105,13728,3051,8135,5182,7344,5891,7538,6248,26454,9493,4745,10003,5356,5363,12926
PGM2L1,1377,2264,812,1081,1164,5281,1221,637,2022,389,856,742,1404,515,585,1633,595,921,507,386
PGM2,3088,4122,1047,778,1601,4636,2082,5727,2644,1774,2784,953,2578,799,1097,1665,1090,1465,1757,808
PGM3,1218,1668,387,1574,4452,3049,1440,2694,5135,1058,1018,1140,1234,1195,867,994,992,858,806,993
PGM5,80,35,25,157,156,67,100,85,26,47,1845,2126,1285,3414,2827,2744,1966,2797,673,1997
PGPEP1,228,741,795,1779,970,2338,240,1055,782,92,2904,1465,2799,1517,2369,2568,1348,1258,2038,1571
