Sample,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
GALNT1,5332,7625,4668,6428,12741,20512,6484,16087,16775,4808,5350,4013,10562,4025,4719,7675,5970,4956,4899,4088
BAZ1B,6926,8823,3025,13101,8530,12916,10947,14319,19634,4446,5319,4450,8069,6054,4731,7174,4468,5486,3661,5533
ECHS1,5865,4739,2742,4654,5219,5369,5398,16632,5756,7357,7733,8594,7017,17210,12141,5518,10109,6340,8089,11107
CRABP1,5163,8735,64332,1428,10,1424,46793,5235,467,11979,2069,3,4693,37,471,493,283,482,3327,44
TMEM214,4522,10530,4185,15465,13879,12373,11129,10114,8733,4588,7358,5311,6915,5547,9000,5092,4901,5916,5957,5927
AP1B1,4652,9083,3048,12831,12699,21009,4911,7530,11127,6780,9839,6187,7235,3972,8606,5989,4499,4734,8861,3824
CPNE1,8108,6539,5217,5979,5466,3709,16969,22099,30687,7871,6703,3634,6411,2965,5098,4871,3674,2497,5983,2908
CLPTM1,4865,11414,3622,14736,15131,14941,8014,6342,5640,8421,8562,4313,6951,6013,9366,5357,5462,4556,8297,4990
PPP2R4,10288,11072,7118,7367,10230,11081,2967,7889,8890,5112,11302,3529,10197,2999,9399,7790,5594,5956,14984,3041
PDIA3P,6998,15774,5875,12101,9732,15980,10403,13455,8978,5404,8524,3897,6164,3139,6127,5531,4192,5532,5913,2970
SMC1A,4310,8386,2471,11989,11017,20714,10971,13182,13517,5742,6704,4712,8186,4548,4758,6970,5044,4579,4551,4278
PRSS8,1537,7080,12714,21155,10153,10262,9847,8580,11450,15128,6773,21,9129,141,6225,4890,3397,2992,15064,78
MGST3,4445,5977,8953,24338,3635,5575,8573,12351,8297,13761,5133,6096,3377,9712,8123,3768,5170,4620,3704,10895
HMOX1,3579,4442,2732,2208,18304,4956,756,3268,1539,2147,2139,96760,827,1571,2812,4486,729,789,753,1675
C14orf166,4465,6464,4177,11923,10774,16461,13143,12011,13567,6118,9005,4585,6033,5125,6676,5725,4062,4918,6203,5000
ACACA,3315,4272,2056,5544,51080,9910,4857,4948,6585,4278,6259,4654,7360,10576,5726,4814,5453,4437,4153,6080
TGFBR3,933,749,1358,10593,667,10958,1811,988,423,1485,7885,14786,11579,14980,12127,12778,13956,15709,4110,18415
TRIM29,1640,14779,1206,9799,523,20062,2571,1856,6551,13492,21403,235,12561,682,7814,10727,5365,9637,14964,362
CAPG,13206,21723,3590,7414,7081,12652,2697,17072,12102,6843,8903,2309,4345,1960,8170,6371,2776,3674,10456,2877
ACTR1A,7407,6621,3948,15048,6909,10668,7950,11251,6688,9749,8050,6773,6359,7299,9820,5548,5592,5806,7379,7269
PTP4A1,6186,7681,3626,6447,13214,19419,12834,11275,10522,3530,6336,3521,12460,5254,5184,7675,6713,4707,5731,3408
CP,2348,18671,4320,56,50920,22557,139,23419,992,3,10229,892,1147,698,4052,6216,2730,4362,1730,186
EID1,5567,4003,3257,5517,5355,9371,6019,8675,4754,1819,11545,8765,11464,9508,11010,13301,9722,10849,7961,7188
ATP1B3,6164,12428,3268,14753,7524,13245,39779,6455,5153,6133,5714,4167,3442,5251,5166,3262,3728,3794,2936,3285
SF3B4,7785,16445,7649,19507,4870,16239,20804,13424,8589,9578,4520,1775,3439,1979,4248,3186,2305,2614,4710,1907
COX7C,4291,4557,8427,9335,6861,5329,12447,12551,12091,7790,10890,5923,7158,7009,9104,6759,4914,6664,8900,4500
NDUFS2,11350,15986,4727,13352,9484,7081,9446,12621,10432,12522,7005,3452,5051,4816,6892,4548,3967,3210,5506,3917
TUBB6,8692,7400,8183,7593,2207,7591,2904,5790,13674,8436,9982,9171,5980,12702,11886,3903,8250,6207,4317,10462
NFKBIA,6025,4605,3317,7615,5563,11639,3867,11153,10872,4460,15584,9303,4764,2798,12698,7774,7850,10422,4116,10728
GNB4,9906,4391,3005,56471,11854,10872,18900,2539,9684,1363,2700,2744,3760,2082,2412,4595,2158,2635,1359,1717
GBP2,7135,16884,1158,808,2822,21565,4648,9928,2387,1766,10991,5968,13372,5942,9748,11402,5637,6730,9387,6675
BMPR2,6436,3413,2912,5438,11894,12335,6483,6918,12615,2099,7384,8124,11755,11306,6017,11617,9297,8234,3468,7164
PJA2,3984,3140,1990,5633,11021,9592,4223,5474,4713,1761,8650,8204,14829,11909,8216,14429,10069,12335,5302,9317
ZDHHC5,6929,9377,2721,8656,18382,12486,9550,11500,10483,5788,7870,4033,8422,4707,6669,6585,5027,5229,5812,4523
GCN1L1,10995,7811,2237,4801,10957,15785,5517,14115,10384,3362,7667,5262,10315,6911,7044,7746,5472,5535,7149,5668
ACO2,5231,5002,2022,12761,9172,10534,4714,6996,15255,4701,8044,5505,7509,12790,10029,5402,7543,5340,7223,8890
CD99,2508,16203,6364,16303,7356,10348,2303,3851,7693,4450,7156,10179,7184,5364,14521,6675,8442,6262,4774,6720
